date,NIFTY NEXT 50
2018-11-30,37315.86
2018-12-03,37434.28
2018-12-04,37323.21
2018-12-05,36804.07
2018-12-06,36240.20
2018-12-07,36398.88
2018-12-10,35736.78
2018-12-11,36300.15
2018-12-12,37109.12
2018-12-13,37487.34
2018-12-14,37613.80
2018-12-17,37911.73
2018-12-18,38094.89
2018-12-19,38628.33
2018-12-20,38413.69
2018-12-21,37888.76
2018-12-24,37352.23
2018-12-26,37494.27
2018-12-27,37569.09
2018-12-28,37950.73
2018-12-31,38107.08
2019-01-01,38016.27
2019-01-02,37698.88
2019-01-03,37425.33
2019-01-04,37485.97
2019-01-07,37468.55
2019-01-08,37444.85
2019-01-09,37437.28
2019-01-10,37592.38
2019-01-11,37469.80
2019-01-14,37209.24
2019-01-15,37476.62
2019-01-16,37497.01
2019-01-17,37473.98
2019-01-18,37068.15
2019-01-21,36948.94
2019-01-22,37095.49
2019-01-23,36870.02
2019-01-24,36827.49
2019-01-25,36334.87
2019-01-28,35667.40
2019-01-29,35705.19
2019-01-30,35701.64
2019-01-31,35917.26
2019-02-01,36285.98
2019-02-04,35961.38
2019-02-05,35708.10
2019-02-06,36035.54
2019-02-07,36463.44
2019-02-08,35897.46
2019-02-11,35496.28
2019-02-12,35313.56
2019-02-13,34951.58
2019-02-14,35112.28
2019-02-15,34515.54
2019-02-18,34248.29
2019-02-19,34303.91
2019-02-20,34763.96
2019-02-21,35061.34
2019-02-22,35332.89
2019-02-25,35488.74
2019-02-26,35471.12
2019-02-27,35627.99
2019-02-28,35903.67
2019-03-01,36355.18
2019-03-05,37037.85
2019-03-06,37323.70
2019-03-07,37149.53
2019-03-08,37188.38
2019-03-11,38040.73
2019-03-12,38204.27
2019-03-13,37986.96
2019-03-14,37846.78
2019-03-15,37800.10
2019-03-18,37885.47
2019-03-19,38008.33
2019-03-20,37881.61
2019-03-22,37632.97
2019-03-25,37176.45
2019-03-26,37526.94
2019-03-27,37451.22
2019-03-28,37789.98
2019-03-29,38344.26
2019-04-01,38414.93
2019-04-02,38147.82
2019-04-03,38008.77
2019-04-04,37991.68
2019-04-05,38162.88
2019-04-08,38022.18
2019-04-09,38167.52
2019-04-10,38045.94
2019-04-11,38170.37
2019-04-12,38336.56
